i,j,k,P_ij,P_jk,P_ik,DT_ij,DT_jk,DT_ik,l_ij,l_ik,l_kj,lambda_ij,lambda_ik,lambda_kj,abs(l-l-l)
0.4,0.3,0.2,0.5654952,0.6378205,0.7380192,1334.77,1286.8494,1285.7476,0.26349485,1.0356985,-0.56591701,51.81667,52.89,51.40061,0.20628661
0.6,0.3,0.2,0.8741935,0.6378205,0.8938907,1086.935,1286.8494,981.9421,1.93855717,2.1311136,-0.56591701,53.06132,51.53988,51.40061,0.37336063
0.7,0.3,0.2,0.8365385,0.6378205,0.916129,1129.051,1286.8494,1044.1323,1.63269477,2.3908777,-0.56591701,52.33316,54.76807,51.40061,0.19226592
0.8,0.3,0.2,0.8842444,0.6378205,0.9426752,1055.029,1286.8494,929.4204,2.03325216,2.7999877,-0.56591701,52.83346,54.21589,51.40061,0.20081853
0.6,0.4,0.2,0.7669903,0.7380192,0.8938907,1168.576,1285.7476,981.9421,1.19139402,2.1311136,-1.03569846,51.06149,51.53988,52.89,0.09597893
0.7,0.4,0.2,0.8594249,0.7380192,0.916129,1195.466,1285.7476,1044.1323,1.81052175,2.3908777,-1.03569846,54.87209,54.76807,52.89,0.45534251
0.8,0.4,0.2,0.8461538,0.7380192,0.9426752,1041.298,1285.7476,929.4204,1.70474809,2.7999877,-1.03569846,50.63701,54.21589,52.89,0.05954114
0.7,0.6,0.2,0.4934641,0.8938907,0.916129,1128.912,981.9421,1044.1323,-0.02614528,2.3908777,-2.13111355,47.51791,54.76807,51.53988,0.28590943
0.8,0.6,0.2,0.6741935,0.8938907,0.9426752,1057.216,981.9421,929.4204,0.72721374,2.7999877,-2.13111355,46.97663,54.21589,51.53988,0.05833959
0.8,0.7,0.2,0.6483871,0.916129,0.9426752,1047.59,1044.1323,929.4204,0.61195703,2.7999877,-2.3908777,46.47754,54.21589,54.76807,0.20284703
0.6,0.4,0.3,0.7669903,0.5654952,0.8741935,1168.576,1334.77,1086.9355,1.19139402,1.9385572,-0.26349485,51.06149,53.06132,51.81667,0.48366831
0.7,0.4,0.3,0.8594249,0.5654952,0.8365385,1195.466,1334.77,1129.0513,1.81052175,1.6326948,-0.26349485,54.87209,52.33316,51.81667,0.44132182
0.8,0.4,0.3,0.8461538,0.5654952,0.8842444,1041.298,1334.77,1055.0289,1.70474809,2.0332522,-0.26349485,50.63701,52.83346,51.81667,0.06500922
0.7,0.6,0.3,0.4934641,0.8741935,0.8365385,1128.912,1086.9355,1129.0513,-0.02614528,1.6326948,-1.93855717,47.51791,52.33316,53.06132,0.27971712
0.8,0.6,0.3,0.6741935,0.8741935,0.8842444,1057.216,1086.9355,1055.0289,0.72721374,2.0332522,-1.93855717,46.97663,52.83346,53.06132,0.63251875
0.8,0.7,0.3,0.6483871,0.8365385,0.8842444,1047.59,1129.0513,1055.0289,0.61195703,2.0332522,-1.63269477,46.47754,52.83346,52.33316,0.21139964
0.7,0.6,0.4,0.4934641,0.7669903,0.8594249,1128.912,1168.5761,1195.4665,-0.02614528,1.8105217,-1.19139402,47.51791,54.87209,51.06149,0.645273
0.8,0.6,0.4,0.6741935,0.7669903,0.8461538,1057.216,1168.5761,1041.2981,0.72721374,1.7047481,-1.19139402,46.97663,50.63701,51.06149,0.21385967
0.8,0.7,0.4,0.6483871,0.8594249,0.8461538,1047.59,1195.4665,1041.2981,0.61195703,1.7047481,-1.81052175,46.47754,50.63701,54.87209,0.71773068
0.8,0.7,0.6,0.6483871,0.4934641,0.6741935,1047.59,1128.9118,1057.2161,0.61195703,0.7272137,0.02614528,46.47754,46.97663,47.51791,0.14140199
